"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1883913882743550122","Mon Jan 27 16:24:05 +0000 2025","241","Proses pembuatan lauk untuk Makan Siang Bergizi Gratis Serangga https://t.co/JAPzPV8cOv","1883913882743550122","https://pbs.twimg.com/ext_tw_video_thumb/1883597296807329792/pu/img/scA5wusSsvRn2EL2.jpg","","in","Bali, Indonesia","13","38","47","https://x.com/TOM5helby/status/1883913882743550122","1426438140202348546","TOM5helby"
"1883350003609174503","Sun Jan 26 03:03:26 +0000 2025","45","Ada program makan siang gratis Di susul program tidur siang. Habis makan tidur https://t.co/PCa2B8dVtU","1883350003609174503","https://pbs.twimg.com/ext_tw_video_thumb/1883349969991761920/pu/img/jsUjggIJdhm06XdX.jpg","","in","","1","14","13","https://x.com/DS_yantie/status/1883350003609174503","1374686160748830724","DS_yantie"
"1880596655415984247","Sat Jan 18 12:42:37 +0000 2025","345","˗ˏˋ SEVENTEEN RIGHT HERE IN JAKARTA ˎˊ˗ freebies by @serenademeanie : 8-9 Feb 2025 (day 1 &amp; 2) : JIS (minwonist meeting point) ⏰ : TBA RT &amp; Likes are appreciated ^^ Thank you and See ya https://t.co/FLPt8iI6CP","1880596655415984247","https://pbs.twimg.com/media/Ghk4rZfbsAAkOcF.jpg","","en","rps ","7","16","245","https://x.com/serenademeanie/status/1880596655415984247","1836295595407097856","serenademeanie"
"1883494042136371267","Sun Jan 26 12:35:47 +0000 2025","4","Pak Prabowo.. Kalo duitnya gak ada jangan dipaksakan. Masalah makan siang gratis aja belum kelar pak.. Mending Perbaiki jalan yang rusak bangun jembatan bangun sekolah yang layak utk masyarakat di setiap pelosok daerah pak.. @prabowo @Gerindra","1883494042136371267","","","in","Bogor, Indonesia","0","1","0","https://x.com/tedy_bambang/status/1883494042136371267","1837384560105213954","tedy_bambang"
"1876876683799892056","Wed Jan 08 06:20:46 +0000 2025","264","Program makan siang gratis: solusi masalah gizi atau sumber food waste baru? Ironi Sampah Makanan di Indonesia: Sesendok Nasi Dibuang Segunung Sampah Dituai https://t.co/gwxzxiCpFR","1876876683799892056","","","in","Indonesia","4","5","137","https://x.com/projectm_org/status/1876876683799892056","1369663239718465538","projectm_org"
"1883071501710377151","Sat Jan 25 08:36:46 +0000 2025","833","BGN Buka Peluang Serangga Jadi Menu Makan Gratis di Daerah Tertentu https://t.co/yFkuDyiCvV","1883071501710377151","","","in","","333","343","196","https://x.com/CNNIndonesia/status/1883071501710377151","17128975","CNNIndonesia"
"1883713328893366656","Mon Jan 27 03:07:09 +0000 2025","13","Kalau Kalian Ketemu Lauk Pauk Yang Ada Serangga Ulat Sagu di Menu Makan Siang Gratis kalian campakkan aja ke Wajah Menterinya atau Pejabatnya‼️ Anggaran Rp. 71 Triliun cuma dikasih Ulat https://t.co/rUyF0NkGFB","1883713328893366656","https://pbs.twimg.com/media/GiRLSe2bgAAj02S.jpg","","in","Earth 🌍","3","1","7","https://x.com/INDONESIAPERKS4/status/1883713328893366656","1606318502981169152","INDONESIAPERKS4"
"1884148778514669747","Tue Jan 28 07:57:29 +0000 2025","53","Sebagus apapun Asupan Gizinya Apakah Layak Serangga Belalang &amp; Ulat sagu dijadikan Menu untuk MBG ? Kalau udah Negara tdk Sanggup kasih Makan siang Gratis Ya Nyerah Aja ! Daripada mengajukan Opsi yg Aneh² ! Makanya Sebelum bikin Program itu dipikrin dulu Anggarannya ! https://t.co/oWsl8dn3tU","1884148778514669747","https://pbs.twimg.com/ext_tw_video_thumb/1884148574193344516/pu/img/rjN_zIhNH_UnkYdy.jpg","","in","","1","0","32","https://x.com/ronaldy596/status/1884148778514669747","812336286107189249","ronaldy596"
"1884067251084746905","Tue Jan 28 02:33:31 +0000 2025","28","Gas terus OCCRP pagar laut dan korupsi keluarga Jokowi. Makan siang gratis isunya selalu aneh. Saya menduga makan siang gratis itu alat Jokowi mengalihkan isu2 tentang keluarganya #BersatuTumbangkanAguan #BersatuTumbangkanAguan https://t.co/ntd4mFgPNN","1884067251084746905","https://pbs.twimg.com/amplify_video_thumb/1884067192716812289/img/hpDCGhs7yrUfevWY.jpg","","in","","1","4","9","https://x.com/Zay34562/status/1884067251084746905","1541060230083006470","Zay34562"
"1876811063515099138","Wed Jan 08 08:42:08 +0000 2025","251","@ARSIPAJA Kiri : salah satu tampilan makanan yang disiapkan buat Jum'at Berkah sesuai dana tersedia... Kanan : salah satu bentuk makan siang gratis dengan anggaran triliunan rupiah... https://t.co/lgYZ8QX1tS","1876912260548825281","https://pbs.twimg.com/media/GgwhwP-bQAAo8f-.jpg","ARSIPAJA","in","In her dream...","0","12","28","https://x.com/ferizandra/status/1876912260548825281","80559922","ferizandra"
