"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1885224187171921947","Fri Jan 31 07:10:46 +0000 2025","3","KawanPajak sudah bisa lapor SPT Tahunan sejak sekarang. SPT Tahunan untuk Tahun Pajak 2024 dan pembetulan tahun-tahun sebelumnya masih menggunakan e-Filing. Lapor tahunan dengan Coretax akan berlaku untuk Tahun Pajak 2025 dan seterusnya. https://t.co/8IW1lmuy4F","1885224187171921947","https://pbs.twimg.com/media/GimpFyKbYAI-Ujh.jpg","","in","Kaur Selatan, Indonesia","0","1","0","https://x.com/PajakBintuhan/status/1885224187171921947","3215390501","PajakBintuhan"
"1887016955695259837","Wed Feb 05 05:54:35 +0000 2025","15","@kring_pajak ini coretax error lg kah? saya tdk bisa edit upload dan input faktur. pdhl faktur januari blm selesai tp lemot sekali error muluuu gmn mau lapor tepat waktu kalo seperti ini trs nanti kalo ga tepat waktu dikasih denda jht ah pekerjaan numpuk gara2 ini https://t.co/bl9Fy4kGrd","1887016955695259837","https://pbs.twimg.com/media/GjAH6hqa4AE4tjs.jpg","kring_pajak","in","Mi Casa","1","12","2","https://x.com/myluckyluck7/status/1887016955695259837","2791316008","myluckyluck7"
"1885885887491248324","Sun Feb 02 03:00:08 +0000 2025","8","Membuat Faktur Pajak Pelunasan atas Transaksi Tahun 2024 di Coretax https://t.co/Ty7LWvmpuq","1885885887491248324","","","in","Jakarta Capital Region","0","0","3","https://x.com/redaksi_ortax/status/1885885887491248324","2723109170","redaksi_ortax"
"1883468079457616284","Sun Jan 26 10:52:37 +0000 2025","964","*Jam 9.30 pagi bbrp hari lalu* sayang tolong jgn ganggu kita berdua dulu. Kita lg burnout. Baru mulai kerja buka coretax lgs burnout https://t.co/m5zc354340","1883468079457616284","https://pbs.twimg.com/media/GiNsOz5a8AAy8Cf.jpg","","in","West Java, Indonesia","2","6","43","https://x.com/pentolkuriya/status/1883468079457616284","952664645688422401","pentolkuriya"
"1887018056360321308","Wed Feb 05 05:58:58 +0000 2025","2","Gara2 coretax + mbg","1887018056360321308","","","in","","0","0","0","https://x.com/amarcella737/status/1887018056360321308","1658043530378637312","amarcella737"
"1883312649758507515","Sun Jan 26 00:35:00 +0000 2025","3","KPK Telaah Dugaan Korupsi Megaproyek Coretax Butuh Waktu 30 Hari Tentukan Langkah Berikutnya https://t.co/eSCfxISSbK","1883312649758507515","","","in","Indonesia","0","0","3","https://x.com/geloraco/status/1883312649758507515","3319260420","geloraco"
"1886620493199106479","Tue Feb 04 03:39:11 +0000 2025","3","Proyek yg anggarannya lebih gede daripada Deepseek tapi lebih ampas daripada produk EA (ya Coretax ini)","1886620493199106479","","","in","","0","1","1","https://x.com/vmastratocaster/status/1886620493199106479","1376212304501477387","vmastratocaster"
"1886021109063221539","Sun Feb 02 11:57:27 +0000 2025","13","Kamu masih alami kendala dalam menggunakan Coretax (Sistem Pelaporan Pajak Terbaru)? Temukan solusinya di Talk Show Kiat Sukses Mengatasi Kendala Coretax dengan narasumber Bapak Rafael Alun Ahli Perpajakan (*Dalam konfirmasi) #coretax https://t.co/OI3fseEe0h","1886021109063221539","https://pbs.twimg.com/media/Gix9ncGaUAAFBWd.jpg","","in","Strategis. Mobil Masuk","0","2","3","https://x.com/emerson_yuntho/status/1886021109063221539","155928815","emerson_yuntho"
"1884271450645004581","Wed Jan 29 05:16:15 +0000 2025","10","@widnyana_ Kemarin-kemarin sempat nulis salah satu penyebab coretax lambat dan sering error di blog: https://t.co/sIc4rnpLic","1884470590259748893","","widnyana_","in","Pangandaran, Indonesia","1","0","8","https://x.com/adi_prnm/status/1884470590259748893","809363715346690048","adi_prnm"
"1885665908393443785","Sat Feb 01 12:26:01 +0000 2025","13","MAKI Desak KPK Bongkar Korupsi Coretax Rp 1 3 T LG CNS jadi Sorotan https://t.co/PeaRDEItAB","1885665908393443785","","","in","Indonesia","0","0","2","https://x.com/geloraco/status/1885665908393443785","3319260420","geloraco"
"1886723076748181585","Tue Feb 04 10:26:49 +0000 2025","7","Minn @kring_pajak ini gmn caranya semua pegawai harus aktivasi coretax kah https://t.co/1KPPp27d82","1886723076748181585","https://pbs.twimg.com/media/Gi78onCa4AIZabR.jpg","","in","","0","1","1","https://x.com/yourbunnyer/status/1886723076748181585","1645576567467446272","yourbunnyer"
"1884903687824556099","Thu Jan 30 09:57:13 +0000 2025","24","Min @kring_pajak apakah ini solusi yang ditawarkan djp biar perusahaan ga repot minta semua karyawan registrasi coretax atau jebakan ya? Thanks. https://t.co/X8ifWl1SMd","1884903687824556099","https://pbs.twimg.com/media/GiiF4XkawAA4hYb.jpg","","in","","0","5","4","https://x.com/askmearmything/status/1884903687824556099","1014757048553127936","askmearmything"
"1884964764100813042","Thu Jan 30 13:59:55 +0000 2025","7","Promp: Dapatkah anda membuat software setara CORETAX asal Indonesia beserta infrastruktur pendukungnya dan perkiraan budget yang dibutuhkan? Jawaban DeepSeek R1: Cc: @irwndfrry https://t.co/l10y9r9g66","1884964764100813042","https://pbs.twimg.com/media/Gii9dVQbYAA2P6c.jpg","","in","Samarinda","0","2","3","https://x.com/Rend88_/status/1884964764100813042","202936253","Rend88_"
"1884498326416154896","Wed Jan 29 07:06:27 +0000 2025","74","Dalam pendiriannya CoreTax menelan biaya 3 triliun (sekitar 133 Juta USD). Sementara DeepSeek didirikan dalam dua bulan dengan biaya 6 Juta USD. Mending duit negara dipakai buat bayar programmers biar bisa bikin CoreTax pakai sistem AI. https://t.co/3AfimLgmhi","1884498326416154896","https://pbs.twimg.com/media/GicVOgcaYAMkMDz.jpg","","in","Kadipaten Japara Hadiningrat","2","12","36","https://x.com/Stakof/status/1884498326416154896","68331085","Stakof"
"1884889802753114212","Thu Jan 30 09:02:03 +0000 2025","0","Coretax Transformasi Digital untuk Pengelolaan Pajak yang Lebih Sederhana https://t.co/S6rtnDLp4G","1884889802753114212","","","in","Indonesia","0","0","0","https://x.com/kompasiana/status/1884889802753114212","23786106","kompasiana"
"1884427050792227298","Wed Jan 29 02:23:14 +0000 2025","6","Apoteker harus paham soal coretax ini. Implikasinya besar terutama bagi yang suka nyetok barang banyak2. Proses retur barang ke distributor ga sama dg model sebelumnya. Pihak pembeli harus bikin nota retur dulu via coretax sebelum PBF bs eksekusi. https://t.co/VjPiYpnnjw","1884427050792227298","https://pbs.twimg.com/amplify_video_thumb/1884426826296221697/img/mb2cd7TzGud2ZZwT.jpg","","in","","0","3","2","https://x.com/RizaRidho/status/1884427050792227298","50906059","RizaRidho"
"1886573821098123547","Tue Feb 04 00:33:44 +0000 2025","0","Airlangga &amp; Sri Mulyani Rapat Bahas Coretax Ini Hasilnya https://t.co/qmhtH4SbTE","1886573821098123547","","","in","Jakarta Capital Region","0","0","0","https://x.com/cnbcindonesia/status/1886573821098123547","847372542830444544","cnbcindonesia"
"1886732863799951526","Wed Feb 05 04:11:54 +0000 2025","2","@DitjenPajakRI INI SAMPE KAPAN CORETAX NYA MAU EROR TERUS WOYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY","1886991114462486960","","DitjenPajakRI","in","Malibu, CA","0","0","0","https://x.com/wanderfulgerll/status/1886991114462486960","2873762067","wanderfulgerll"
"1886567447203078594","Tue Feb 04 00:08:24 +0000 2025","3","Perjalanan ke barat mencari cuan menghadapi coretax membaca eksorsis. Ben ora klebon setan. https://t.co/2W5ix1ifIU","1886567447203078594","https://pbs.twimg.com/media/Gi5vDypa4AIWFD3.jpg","","in","buntasing bumi","1","1","0","https://x.com/widodolestari/status/1886567447203078594","483531313","widodolestari"
"1886786807280664829","Tue Feb 04 14:40:04 +0000 2025","0","DJP Umumkan Perbaikan Terbaru Coretax Soal Pelaporan SPT Pajak https://t.co/tgYjeZzxcV","1886786807280664829","","","in","Jakarta Capital Region","0","0","0","https://x.com/cnbcindonesia/status/1886786807280664829","847372542830444544","cnbcindonesia"
"1885652607018099190","Sat Feb 01 13:30:32 +0000 2025","2","@delecerak @freekuzan @DJP Coretax gak peduli sama aku lek https://t.co/TPhLYsB7tI","1885682146750374196","https://pbs.twimg.com/media/GitJ62AbkAAUHTu.jpg","delecerak","in","","0","1","0","https://x.com/Donquixote_ricx/status/1885682146750374196","1846960991684472832","Donquixote_ricx"
"1886593320782324112","Tue Feb 04 01:51:13 +0000 2025","5","1. Para dosen turun ke jalan. 2. Gas LPG 3 kg sulit didapatkan. (Seorang ibu meninggal karena kelelahan mengantri gas) 3. Tanah diambil paksa oleh negara. 4. Kasus pembangunan pagar laut. 5. sistem Coretax yang menghambat faktur pajak perusahaan menyebabkan bisnis terhambat. https://t.co/NgD0IkOPz1","1886593320782324112","https://pbs.twimg.com/media/Gi6GoIfa4AMDkb-.jpg","","in","","0","1","3","https://x.com/sipalingten/status/1886593320782324112","1539605777479913474","sipalingten"
"1886297226433220752","Tue Feb 04 06:25:18 +0000 2025","4","@LbsMasdar81334 Hai Kak. Untuk SPT PPh pasal 21 Coretax silakan klik Simpan Konsep terlebih dahulu kemudian pilih edit hingga muncul formulir induk SPT. Pilihan Bayar dan Lapor akan muncul di pojok kiri bawah jika login akun Coretaxnya menggunakan akun PIC Utama atau akun Signer SPT ya. https://t.co/QNzbg8LFvn","1886662296346484780","https://pbs.twimg.com/media/Gi7FWzha4AE1xCZ.jpg","LbsMasdar81334","in","1500200","1","7","1","https://x.com/kring_pajak/status/1886662296346484780","4564565058","kring_pajak"
"1886331082959909060","Mon Feb 03 08:29:11 +0000 2025","98","#KawanPajak kini perubahan data alamat bisa dilakukan lebih mudah melalui Coretax DJP! Dengan fitur ini #KawanPajak tidak perlu datang ke Kantor Pajak untuk memperbarui data. Simak panduan selengkapnya pada infografis berikut. https://t.co/9RT0ufUKaT","1886331082959909060","https://pbs.twimg.com/media/Gi2YHeubMAACY50.jpg","","in","Indonesia","10","42","100","https://x.com/DitjenPajakRI/status/1886331082959909060","543294959","DitjenPajakRI"
"1883487048738496757","Sun Jan 26 12:08:00 +0000 2025","88","Menjelang pelaporan SPT pribadi. just a kindly reminder sekarang ada system coretax. Jika terjadi penelitian maka DJP dapat mengakses jumlah saldo rekening sewaktu-waktu. If you got gain in crypto laporkan semua di pajak daripada kena denda nanti. Dont let your gain jadi","1883487048738496757","","","in","","0","22","6","https://x.com/GabRey99/status/1883487048738496757","1737320507052302336","GabRey99"
"1884425630483423673","Wed Jan 29 02:17:35 +0000 2025","734","Mulai denger cerita-cerita Coretax ‍️ https://t.co/vUPNj3007x","1884425630483423673","https://pbs.twimg.com/media/GibTHWXaoAA0Hd1.jpg","","in","Singapore","13","41","70","https://x.com/ainunnajib/status/1884425630483423673","35167068","ainunnajib"
"1885286725435744276","Fri Jan 31 11:19:16 +0000 2025","3","Gini kan enak coretax https://t.co/g4WxdsxY5X","1885286725435744276","https://pbs.twimg.com/media/GiniR-_bYAAJSMd.jpg","","in","Indonesia","1","6","0","https://x.com/_f4keacc/status/1885286725435744276","1348706218034876417","_f4keacc"
"1885289396163010766","Sat Feb 01 02:56:32 +0000 2025","117","@kabarheboh01 Ayo yang semangat buzzer2 okegas ngalihin isu MBG parcok dan coretax. https://t.co/YztFuDVBje","1885522594654273921","https://pbs.twimg.com/media/Giq4yv9bYAUMa7e.jpg","kabarheboh01","in","Indonesia","4","11","16","https://x.com/rogue_mercenary/status/1885522594654273921","547439385","rogue_mercenary"
"1884308577608970397","Tue Jan 28 18:32:28 +0000 2025","5","Pemenang Tender proyek Coretax senilai 1.2 Triliun Rupiah adalah PT LG CNS yang kalo ga salah bekerjasama dengan SinarMas dalam beberapa proyek digital Tapi kok Korea kerjaannya AMATIR begitu yah? https://t.co/WynZh8DbWo","1884308577608970397","https://pbs.twimg.com/media/GiZoqlaaYAo-3H-.jpg","","in","Jakarta Pusat","1","0","1","https://x.com/Watz1845/status/1884308577608970397","1383295518374121475","Watz1845"
"1884054747650671065","Tue Jan 28 01:43:50 +0000 2025","36","Masalah coretax yang sebesar itu aja sang sri mulyani masih masuk kategori menteri berkinerja terbaik bayangin aja klo coretax sudah pulih dan stabil Donald Trump mungkin akan menghadap prabowo untuk memohon agar beliau jadi menteri keuangan amerika serikat.","1884054747650671065","","","in","indonesia","0","2","15","https://x.com/ASN_TELADAN/status/1884054747650671065","1555094815028953090","ASN_TELADAN"
"1886239544590364814","Mon Feb 03 02:25:26 +0000 2025","0","aku abis ngulik2 coretax. malu banget page error masi kosongan dan pake nginx. tidak mencerminkan web 12 triliun itu (aku dibayar 1 triliun udh rela bikin semua semua serba estetik)","1886239544590364814","","","in","사탕","0","1","0","https://x.com/introvexrt/status/1886239544590364814","886338452211458048","introvexrt"
"1884495166658216385","Wed Jan 29 06:53:54 +0000 2025","114"," Jangan-jangan bisa jadi lebih murah bikin AI yang bisa bikin CoreTax? ","1884495166658216385","","","in","Singapore","2","7","16","https://x.com/ainunnajib/status/1884495166658216385","35167068","ainunnajib"
"1885241102955143258","Fri Jan 31 08:17:59 +0000 2025","8","Coretax tiap hari dirujak netijem Bea Cukai sejak lama dikomplain kelakuan pejabat DJP sirkelan Rafael Alun masih aman tapi SMI tetap TERBAIK https://t.co/Um0WZfStm1","1885241102955143258","https://pbs.twimg.com/media/Gim4n9VbYAI8r7Q.jpg","","in","","0","0","5","https://x.com/MerrMagda/status/1885241102955143258","849329765790224384","MerrMagda"
"1886593707404923343","Tue Feb 04 01:52:45 +0000 2025","22","NGERI BANGET DIPECAT GARA² CORETAX. mutusin rejeki org u pemerintah https://t.co/Xg6U87C9lG","1886593707404923343","https://pbs.twimg.com/media/Gi6G-mUa4AAZMqM.jpg","","in","2 device 1 acc","1","4","6","https://x.com/cmharuwin/status/1886593707404923343","108840925","cmharuwin"
"1885690635916828749","Sat Feb 01 14:04:16 +0000 2025","48","MAKI Desak KPK Bongkar Korupsi Coretax Rp 1 3 T LG CNS jadi Sorotan https://t.co/9izDeezCuP","1885690635916828749","","","in","","1","1","42","https://x.com/OposisiCerdas/status/1885690635916828749","887743587579944960","OposisiCerdas"
"1884288383297732914","Tue Jan 28 17:12:13 +0000 2025","237","Semoga mereka semua yang menyebabkan pembengkakan anggaran dihisab pakai Coretax ya Bu https://t.co/QNaMkYADng","1884288383297732914","https://pbs.twimg.com/media/GiZWS22aYAYTjNk.jpg","","in","Ibu Kota Nusantara","3","6","50","https://x.com/kemgelapan/status/1884288383297732914","1772124227463979008","kemgelapan"
